#{"t_start": 1759247902.333364, "env_id": "KinematicCar-v0"}
r,l,t
-3772.905515,600,15.987233
-5045.182421,600,16.088703
-6388.766382,600,16.189636
-2938.037821,600,16.290939
-5799.462086,600,16.392029
-3545.735193,600,36.973231
-2712.70542,600,37.073195
-4124.215343,600,37.169863
-3855.003044,600,37.266088
-3332.710326,600,37.365931
-2376.395557,600,57.990009
-6626.451295,600,58.08746
-3761.694777,600,58.184183
-3764.187273,600,58.282218
-1816.860405,600,58.379555
-1408.310555,600,79.101182
-2699.399011,600,79.198837
-3568.530984,600,79.298342
-531.02393,600,79.397271
-1426.270088,600,79.495638
-539.355302,600,100.294005
-1017.397229,600,100.390878
-2054.62212,600,100.487997
-2843.855297,600,100.584672
-2023.76621,600,100.680945
-2269.044325,600,121.416088
-2004.919064,600,121.518785
-48.31045,28,121.523733
-617.578634,600,121.625603
-1062.030563,600,121.72778
-731.15193,600,142.404331
-2103.827895,600,142.50299
-838.074009,600,142.601599
-1584.458624,600,142.699025
-1534.909138,600,142.802449
-1219.192486,600,163.522831
-2022.434376,600,163.624909
-2044.431889,600,163.725114
-1173.182679,573,163.822194
-4156.320388,600,163.922178
-2373.899523,600,184.77353
-979.697136,600,184.871608
-1813.184538,600,184.974789
-1823.16235,600,185.076927
-2123.796488,600,185.178948
-1053.983854,600,205.979316
-1941.10263,600,206.080097
-2707.653391,600,206.182022
-839.120489,600,206.284581
-2143.486817,600,206.386429
-588.887961,312,227.156462
-1678.689806,600,227.254623
-46.137285,27,227.259184
-238.781414,60,227.269142
-648.541074,105,227.286299
-1445.584682,600,247.871313
-927.395314,600,247.969738
-1016.497625,600,248.07078
-163.240072,155,248.09728
-1549.633588,600,248.195876
-1370.613271,600,268.917894
-1399.198953,600,269.016962
-915.665812,224,269.054222
-1225.006149,600,269.156096
-454.239572,89,269.171108
-1860.986938,600,290.05881
-903.329031,600,290.159735
-1193.501185,600,290.260032
-1108.894032,600,290.357033
-1406.957043,600,290.454221
-1301.618193,600,311.098433
-826.947865,600,311.198394
-1175.458695,600,311.298208
-1078.498555,600,311.397282
-1412.752364,600,311.49708
255.797403,600,93.-2720.12-1778.596774,600,94.621061
-2609.957028,600,95.831615
-1511.80057,600,97.031967
-1745.571427,600,98.257053
-1281.386851,600,99.51987
-2240.3625,600,100.789143
-2323.708016,600,102.044058
-1855.363166,600,103.761942
-1203.153842,267,104.300793
-2635.810805,600,105.55147
-1886.621722,600,106.862671
-2053.229331,600,108.09568
-2039.03188,600,109.348754
-1573.781375,600,110.578132
-2175.368639,600,111.812702
-1845.583386,600,113.035017
-1697.770044,600,114.240865
-2725.106612,600,115.44892
-1819.947803,600,116.679765
-1691.119438,600,117.929325
-2033.171777,600,119.181177
-1482.069018,600,120.416408
-1645.057381,600,121.656918
-565.277287,113,121.889389
-2582.702951,600,123.121859
-1830.100758,600,124.785446
-1777.804958,600,126.013091
-2081.228367,529,127.094069
-418.037485,82,127.255553
-1488.067034,600,128.468864
-2564.208147,600,129.718332
-1879.545754,600,130.939838
-1669.191932,600,132.178482
-3185.002708,600,133.38554
-180.064618,54,133.496031
-713.407269,146,133.795-1259-1338.529791,600,135.044-149-1443.856929,600,136.2922-165-1880.643213,600,137.5255-180-3722.565753,600,138.764-1196-1756.968889,600,139.999-1075-1793.99465,600,141.2516-142-2395.318726,600,142.492-1186-1207.070754,600,143.723-2204-1816.512792,600,145.436-1395.531401,600,145.824795
--1342.133554,600,146.761042--1115.385085,600,148.011294-1354.150518,548,148.894871-1-1590.584981,600,150.106573-1-1213.143399,422,150.976921-1-1507.132913,600,152.192703-1-1816.450346,600,153.422313-2052.554756,600,154.252657--1167.005231,600,155.490989--1771.119074,600,156.71176
-1589.511501,600,157.948695
-1516.978669,600,159.177747
-2934.414807,600,160.468438
-1102.278772,600,161.709177
-1694.986604,600,162.942061
-4654.324658,600,164.174429
-1649.387307,600,165.952058
-1504.394666,579,167.133617
-1128.991243,600,168.371496--2584.433265,600,169.610368--1899.524677,600,170.870578--949.025131,314,171.522146
-1892.781973,600,172.212028--1648.766376,600,173.456213-1654.740888,600,174.34361
--1348.706171,600,175.260852-1-1718.178235,600,176.50696--603.87578,188,176.897557
--1128.509662,600,178.134629
-2245.144474,600,179.383711
-2248.493263,600,180.628716
-1923.62548,600,181.870792
-2341.514429,600,183.114614
-1216.195104,600,184.358788
-1376.741208,600,185.577177
-214.997641,61,185.714645
-141.308497,59,185.834622
-2324.064162,600,187.576089
-1795.92244,587,188.783898
-1753.875244,600,190.038196
-2778.250923,600,191.279321
-1489.798363,600,192.507339
-1218.521995,600,193.745005
-2320.017048,600,195.001096
-2409.90696,600,196.255184
-2644.567128,600,197.495763
-1346.053135,600,198.730988
-1737.167251,600,199.965667
-2196.981932,600,201.218907
-2183.446084,600,202.473738
-1654.959086,509,203.525645
-1393.070941,600,204.764729
-2069.102207,600,205.986984
-1399.866071,600,207.241028
-1257.092861,363,208.498052
-2254.396572,600,209.730458
-1882.94002,600,210.980155
-2292.987991,600,212.192685
-1755.569079,600,213.45291
-2702.923289,600,214.72238
-2215.303517,600,215.938875
-2137.944621,600,217.157647
-1454.074732,600,218.421778
-1214.443931,600,219.699081
-1295.248773,600,220.960452
-1141.931137,600,222.207537
-407.608368,127,222.471175
-1489.93666,539,223.587852
-1505.264199,600,224.82956
-1362.957961,600,226.094021
-1587.624282,600,227.307992
-1209.626651,600,228.530766
-2059.396965,600,229.953474
-133.969604,112,230.185889
-1946.600466,600,231.382804
-1565.982348,392,232.222672
-1514.300719,600,233.432225
-1693.894125,600,234.63752
-1690.641074,600,235.825416
-1610.6423,600,237.05447
-367.550592,207,237.487252
-2287.795223,600,238.727502
-1332.126122,600,239.963989
-1529.114757,600,241.177155
-1470.118286,600,242.416298
-1653.155998,600,243.652886
-1220.943168,600,244.889901
-1740.483823,600,246.130256
-1511.960956,600,247.399015
-1438.590064,600,248.603197
-800.614894,171,248.947393
-1187.55256,600,250.603964
-1786.467464,600,251.809141
-1302.37318,600,253.090001
-1498.368447,600,254.347785
-1569.215395,600,255.583909
-646.329958,101,255.79335
-1705.911709,600,257.038618
-2031.225331,600,258.250297
-437.411993,84,258.429856
-1530.326868,600,259.676957
-1962.696796,600,260.898142
-1408.630169,600,262.135084
-2370.139815,600,263.386196
-1208.915451,600,264.606881
-992.153063,600,265.808771
-360.086701,172,266.153368
-1599.080543,600,267.402456
-1350.996356,547,268.583224
-1490.998753,600,269.800305
-1661.090155,600,271.385864
-1381.974664,600,272.626765
-1506.371247,600,273.890998
-1423.476791,600,275.146907
-839.127453,394,275.946528
-1554.680625,600,277.142995
-1185.086093,600,278.403703
-1023.610843,359,279.146074
-123.129776,65,279.28162
-1579.692787,600,280.526194
-630.315451,197,280.929976
-1474.41671,600,282.187308
-2106.507167,600,283.539103
-1193.055833,600,284.729675
-1061.729227,600,285.966378
-529.588715,225,286.434821
-1486.217019,600,287.67255
-28.458709,37,287.748832
-1244.974326,596,289.018373
-858.201197,563,290.154288
-1399.560206,600,291.410816
-1870.756521,600,293.174678
-1487.058321,600,294.3648
-1522.626304,600,295.552442
-1138.687313,600,296.778831
-1403.124176,600,298.045492
-1526.896705,600,299.290834
-1415.642513,600,300.4913
-1718.462775,600,301.697344
-1177.355061,600,302.902432
-2274.511072,600,304.213786
-582.966812,180,304.582042
-1915.213358,600,305.795577
-1484.693663,600,307.010071
-1744.528695,600,308.225742
-818.418641,346,308.952475
-257.212838,153,309.281968
-1579.286491,600,310.532612
-1008.891728,600,311.786124
,30,305.081298
-1222.049079,582,306.247182
-508.506805,92,306.439535
-1386.582172,600,307.653182
-789.659356,358,308.382866
-1627.546927,600,309.647983
-1230.666085,600,310.898365
-216.149983,156,311.223295
-1638.127642,600,312.478022
